product_id,category,brand_name,api_name,formulation_name,dose_strength,dosing_interval,route,main_indication,technology_class,market_status,search_terms,include_flag,notes
LAI_001,LAI antipsychotic,Risperdal Consta,Risperidone,Risperidone extended-release microspheres,"12.5, 25, 37.5, 50 mg",Every 2 weeks,IM,Schizophrenia; bipolar I maintenance,PLGA microspheres,Marketed,Risperdal Consta; risperidone microspheres; risperidone long acting injection,Yes,Core marketed LAI antipsychotic
LAI_002,LAI antipsychotic,Rykindo,Risperidone,Risperidone extended-release injectable suspension,"12.5, 25, 37.5, 50 mg",Every 2 weeks,IM,Schizophrenia; bipolar I maintenance,Extended-release injectable suspension,Marketed,Rykindo; risperidone extended-release injectable suspension,Yes,Core marketed LAI antipsychotic
LAI_003,LAI antipsychotic,Perseris,Risperidone,Risperidone extended-release SC injection,"90, 120 mg",Monthly,SC,Schizophrenia,In-situ forming depot,Marketed,Perseris; risperidone extended-release subcutaneous injection,Yes,Monthly SC risperidone depot
LAI_004,LAI antipsychotic,Uzedy,Risperidone,Risperidone extended-release SC injection,"50, 75, 100, 125, 150, 200, 250 mg",Monthly or every 2 months,SC,Schizophrenia; bipolar I maintenance,Extended-release SC depot,Marketed,Uzedy; risperidone extended-release injectable suspension,Yes,Monthly and every-2-month risperidone product
LAI_005,LAI antipsychotic,Okedi,Risperidone,Risperidone prolonged-release injection,"75, 100 mg",Monthly,IM,Schizophrenia,Prolonged-release injection,Marketed,Okedi; risperidone prolonged-release injection,Yes,European risperidone LAI
LAI_006,LAI antipsychotic,Invega Sustenna / Xeplion / Palmeux,Paliperidone palmitate,Paliperidone palmitate 1-month,"39, 78, 117, 156, 234 mg; EU strengths may be expressed differently",Monthly,IM,Schizophrenia; schizoaffective disorder in some labels,Poorly soluble ester injectable suspension,Marketed,paliperidone palmitate; Invega Sustenna; Xeplion; Palmeux; PP1M,Yes,1-month paliperidone palmitate LAI
LAI_007,LAI antipsychotic,Invega Trinza / Trevicta,Paliperidone palmitate,Paliperidone palmitate 3-month,"273, 410, 546, 819 mg",Every 3 months,IM,Schizophrenia after stabilisation on 1-month paliperidone,Poorly soluble ester injectable suspension,Marketed,Invega Trinza; Trevicta; paliperidone palmitate 3-month; PP3M,Yes,3-month paliperidone palmitate LAI
LAI_008,LAI antipsychotic,Invega Hafyera / Byannli,Paliperidone palmitate,Paliperidone palmitate 6-month,"1092, 1560 mg",Every 6 months,IM,Schizophrenia after stabilisation,Poorly soluble ester injectable suspension,Marketed,Invega Hafyera; Byannli; paliperidone palmitate 6-month; PP6M,Yes,6-month paliperidone palmitate LAI
LAI_009,LAI antipsychotic,Abilify Maintena,Aripiprazole,Aripiprazole monohydrate LAI,"300, 400 mg",Monthly,IM,Schizophrenia; bipolar I maintenance,Long-acting injectable suspension,Marketed,Abilify Maintena; aripiprazole monohydrate long acting,Yes,Monthly aripiprazole LAI
LAI_010,LAI antipsychotic,Abilify Asimtufii,Aripiprazole,Aripiprazole LAI,"720, 960 mg",Every 2 months,IM,Schizophrenia; bipolar I maintenance,Long-acting injectable suspension,Marketed,Abilify Asimtufii; aripiprazole 2 month injection,Yes,Every-2-month aripiprazole LAI
LAI_011,LAI antipsychotic,Aristada,Aripiprazole lauroxil,Aripiprazole lauroxil LAI,"441, 662, 882, 1064 mg","Monthly, every 6 weeks, or every 2 months",IM,Schizophrenia,Long-acting prodrug injectable suspension,Marketed,Aristada; aripiprazole lauroxil,Yes,Aripiprazole lauroxil LAI
LAI_012,LAI antipsychotic,Aristada Initio,Aripiprazole lauroxil,Aripiprazole lauroxil initiation injection,675 mg,One-time initiation,IM,Initiation of Aristada,Long-acting prodrug injectable suspension,Marketed,Aristada Initio; aripiprazole lauroxil initiation,Maybe,"Initiation product, analyse separately"
LAI_013,LAI antipsychotic,Zyprexa Relprevv / Zypadhera,Olanzapine pamoate,Olanzapine pamoate LAI,"150, 210, 300, 405 mg",Every 2 or 4 weeks,IM,Schizophrenia,Poorly soluble salt injectable suspension,Marketed,Zyprexa Relprevv; Zypadhera; olanzapine pamoate,Yes,Olanzapine depot
LAI_014,Peptide / endocrine depot,Sandostatin LAR Depot,Octreotide acetate,Octreotide LAR,"10, 20, 30 mg",Every 4 weeks,IM,Acromegaly; carcinoid syndrome; VIPoma,PLGA microspheres,Marketed,Sandostatin LAR; octreotide LAR; octreotide long acting release,Yes,Core peptide depot comparator
LAI_015,Peptide / endocrine depot,Oczyesa / CAM2029,Octreotide,Octreotide SC depot,20 mg,Every 4 weeks,SC,Acromegaly,Lipid liquid-crystal depot,Marketed / regional,Oczyesa; CAM2029; octreotide subcutaneous depot; octreotide FluidCrystal,Yes,Highly relevant to Innovarus octreotide programme
LAI_016,Peptide / endocrine depot,Somatuline Autogel / Somatuline Depot,Lanreotide acetate,Lanreotide depot,"60, 90, 120 mg",Every 4 weeks,Deep SC,Acromegaly; GEP-NET; carcinoid syndrome,Self-assembling peptide depot,Marketed,Somatuline; lanreotide depot; lanreotide autogel,Yes,SSA depot comparator
LAI_017,Peptide / endocrine depot,Signifor LAR,Pasireotide,Pasireotide LAR,"20, 40, 60 mg",Every 4 weeks,IM,Acromegaly; Cushing's disease in some markets,PLGA microspheres,Marketed,Signifor LAR; pasireotide LAR; pasireotide long acting release,Yes,SSA depot comparator
LAI_018,GnRH depot / implant,Eligard,Leuprolide acetate / leuprorelin acetate,Leuprolide in-situ forming depot,"7.5, 22.5, 30, 45 mg","1, 3, 4, or 6 months",SC,Advanced prostate cancer,PLGA/NMP in-situ forming depot,Marketed,Eligard; leuprolide depot; leuprorelin depot; Atrigel leuprolide,Yes,Core ISFI comparator
LAI_019,GnRH depot / implant,Lupron Depot / Prostap / Lutrate Depot,Leuprolide acetate / leuprorelin acetate,Leuprolide/leuprorelin depot,"3.75, 7.5, 11.25, 22.5, 30, 45 mg depending product","1, 3, or 6 months depending product",IM,Prostate cancer; endometriosis; fibroids; CPP depending product,Depot microsphere or prolonged-release depot,Marketed,Lupron Depot; Prostap; Lutrate Depot; leuprolide depot; leuprorelin depot,Yes,Core GnRH depot group
LAI_020,GnRH depot / implant,Zoladex / Zoladex LA,Goserelin acetate,Goserelin implant,"3.6, 10.8 mg",Monthly or every 3 months,SC implant,Prostate cancer; breast cancer; endometriosis,Biodegradable implant,Marketed,Zoladex; goserelin implant; goserelin acetate depot,Yes,Core GnRH implant
LAI_021,GnRH depot / implant,Trelstar / Decapeptyl / Gonapeptyl Depot,Triptorelin,Triptorelin depot,"3.75, 11.25, 22.5 mg depending product","1, 3, or 6 months",IM,Prostate cancer; endometriosis; CPP depending market,Depot microspheres,Marketed,Trelstar; Decapeptyl; Gonapeptyl Depot; triptorelin depot,Yes,Core GnRH depot
LAI_022,GnRH depot / implant,Vantas / Supprelin LA,Histrelin acetate,Histrelin yearly implant,50 mg,Yearly,SC implant,Advanced prostate cancer; central precocious puberty,Non-biodegradable implant,Marketed,Vantas; Supprelin LA; histrelin implant,Maybe,Implant; analyse separately if it distorts injectable depot dataset
LAI_023,HIV LAI,Cabenuva,Cabotegravir + rilpivirine,Cabotegravir/rilpivirine extended-release injection,400/600 mg monthly; 600/900 mg every 2 months,Monthly or every 2 months,IM,HIV-1 treatment,Long-acting injectable suspension,Marketed,Cabenuva; cabotegravir rilpivirine long acting; cabotegravir rilpivirine injectable,Yes,Modern HIV LAI
LAI_024,HIV LAI,Apretude,Cabotegravir,Cabotegravir long-acting injectable,600 mg,Every 2 months after initiation,IM,HIV-1 PrEP,Long-acting injectable suspension,Marketed,Apretude; cabotegravir long acting; cabotegravir LA,Yes,HIV prevention LAI
LAI_025,HIV LAI,Sunlenca,Lenacapavir,Lenacapavir long-acting injection,927 mg,Every 6 months,SC,Multidrug-resistant HIV-1 treatment,Long-acting injectable,Marketed,Sunlenca; lenacapavir injection; lenacapavir long acting,Yes,Ultra-long-acting HIV therapy
LAI_026,Addiction LAI,Vivitrol,Naltrexone,Naltrexone extended-release microspheres,380 mg,Monthly,IM,Alcohol dependence; opioid dependence relapse prevention,PLGA microspheres,Marketed,Vivitrol; naltrexone extended-release; naltrexone long acting injection,Yes,Core addiction LAI
LAI_027,Addiction LAI,Sublocade,Buprenorphine,Buprenorphine extended-release SC depot,"100, 300 mg",Monthly,SC,Opioid use disorder,In-situ forming depot,Marketed,Sublocade; buprenorphine extended-release; buprenorphine depot,Yes,Core addiction ISFI depot
LAI_028,Addiction LAI,Brixadi / Buvidal / CAM2038,Buprenorphine,Buprenorphine prolonged-release SC injection,Weekly and monthly strengths,Weekly or monthly,SC,Opioid use disorder / opioid dependence,Lipid liquid-crystal depot,Marketed,Brixadi; Buvidal; CAM2038; buprenorphine prolonged-release,Yes,Core addiction lipid depot
LAI_029,Contraceptive depot,Depo-Provera CI,Medroxyprogesterone acetate,Depot medroxyprogesterone acetate IM,150 mg/mL,Every 12-13 weeks,IM,Contraception,Aqueous depot suspension,Marketed,Depo-Provera; depot medroxyprogesterone acetate; DMPA,Yes,Analyse separately due to contraception-specific trial logic
LAI_030,Contraceptive depot,Depo-subQ Provera 104 / Sayana Press,Medroxyprogesterone acetate,Depot medroxyprogesterone acetate SC,104 mg/0.65 mL,Every 12-14 weeks,SC,Contraception; endometriosis pain in some labels,Aqueous depot suspension,Marketed,Depo-subQ Provera 104; Sayana Press; medroxyprogesterone acetate subcutaneous,Yes,SC contraceptive depot
LAI_031,Contraceptive depot,Noristerat,Norethisterone enantate,Norethisterone enantate oily injection,200 mg/mL,Every 8 weeks,IM,Contraception,Oily ester depot,Marketed,Noristerat; norethisterone enantate; norethindrone enanthate,Yes,Contraceptive oily depot
LAI_032,Metabolic ER injectable,Bydureon / Bydureon BCise,Exenatide,Exenatide extended-release injectable suspension,2 mg,Weekly,SC,Type 2 diabetes,PLGA microspheres / ER injectable suspension,Marketed,Bydureon; Bydureon BCise; exenatide extended-release,Yes,Only metabolic product included in core scope
LAI_033,Local analgesic depot,Exparel,Bupivacaine,Bupivacaine liposome injectable suspension,133 mg/10 mL; 266 mg/20 mL,Single administration,Local infiltration / regional,Postsurgical analgesia,Liposomal extended-release,Marketed,Exparel; bupivacaine liposome; liposomal bupivacaine,Yes,Local extended-release injectable
LAI_034,Local analgesic depot,Zynrelef,Bupivacaine + meloxicam,Extended-release solution,"200/6, 300/9, 400/12 mg",Single administration,Surgical site instillation,Postsurgical analgesia,Extended-release local analgesic,Marketed,Zynrelef; bupivacaine meloxicam extended-release,Yes,Local extended-release pain product
LAI_035,Local analgesic depot,Posimir,Bupivacaine,Bupivacaine extended-release solution,660 mg,Single administration,Surgical site administration,Postsurgical analgesia,Extended-release local analgesic,Marketed,Posimir; POSIMIR; bupivacaine extended-release solution,Yes,Local extended-release pain product
LAI_036,Supportive-care ER injectable,Sustol,Granisetron,Granisetron extended-release injection,10 mg/0.4 mL,Not more frequently than once every 7 days,SC,Prevention of chemotherapy-induced nausea and vomiting,Extended-release polymer-based injection,Marketed,Sustol; SUSTOL; granisetron extended-release injection,Yes,Supportive-care ER injectable
LAI_037,Local anti-inflammatory depot,Zilretta,Triamcinolone acetonide,Triamcinolone acetonide extended-release injectable suspension,32 mg,Single intra-articular administration,Intra-articular,Osteoarthritis knee pain,PLGA microsphere extended-release suspension,Marketed,Zilretta; triamcinolone acetonide extended-release injectable suspension,Yes,Only selected product from older/local steroid category
LAI_038,Pipeline LAI,Debio 4126,Octreotide,Debio 4126,To verify,12 weeks / 3 months,To verify,Acromegaly,Sustained-release octreotide formulation,Investigational,Debio 4126; Debio4126; octreotide 12 week,Yes,Pipeline octreotide LAI
LAI_039,Pipeline LAI,Debio 4326,Triptorelin acetate,Debio 4326,70 mg,12 months,To verify,Central precocious puberty,Biodegradable extended-release injectable,Investigational,Debio 4326; Debio4326; triptorelin 12 month,Yes,Pipeline 12-month triptorelin LAI
LAI_040,Pipeline LAI,Debio 4228,Degarelix,Debio 4228,To verify,To verify,To verify,Prostate cancer,Extended-release GnRH antagonist formulation,Investigational,Debio 4228; Debio4228; degarelix extended release,Yes,Pipeline degarelix LAI
LAI_041,Pipeline LAI,CAM4072,Setmelanotide,CAM4072,To verify,Weekly,SC,Rare genetic obesity disorders,FluidCrystal lipid depot,Investigational,CAM4072; setmelanotide depot; setmelanotide weekly depot,Yes,Pipeline Camurus depot
LAI_042,Pipeline LAI,CAM2032,Leuprolide,CAM2032,To verify,Monthly,SC,Prostate cancer,FluidCrystal lipid depot,Investigational,CAM2032; leuprolide depot; leuprolide FluidCrystal,Yes,Pipeline Camurus leuprolide depot
LAI_043,Pipeline LAI,CAM2043,Treprostinil,CAM2043,To verify,Weekly,SC,Raynaud's phenomenon secondary to systemic sclerosis,FluidCrystal lipid depot,Investigational,CAM2043; treprostinil depot; treprostinil FluidCrystal,Yes,Pipeline Camurus depot
LAI_044,Pipeline LAI,CAM2047,Granisetron,CAM2047,To verify,To verify,SC,Chemotherapy-induced nausea and vomiting,FluidCrystal lipid depot,Investigational,CAM2047; granisetron depot; granisetron FluidCrystal,Yes,Pipeline Camurus granisetron depot
LAI_045,Pipeline LAI,TOL2506,Leuprolide acetate,TOL2506,To verify,To verify,SC,Ovarian suppression; prostate cancer/GnRH suppression context,Extended-release injectable suspension,Investigational,TOL2506; TOL 2506; leuprolide acetate TOL2506,Yes,Pipeline Tolmar leuprolide product
LAI_046,Pipeline LAI,TOL3022,Degarelix,TOL3022,To verify,To verify,To verify,Prostate cancer / androgen suppression,To verify,Investigational / unverified,TOL3022; TOL 3022; degarelix TOL3022,Verify,Keep but manually verify after CT.gov pull
LAI_047,Pipeline LAI,INDV-6001,Buprenorphine-related LAI,INDV-6001,To verify,To verify,SC,Opioid use disorder,Long-acting injectable,Investigational,INDV-6001; INDV6001; ALA-1000; buprenorphine INDV-6001,Yes,Pipeline Indivior/Alar product; verify API details from trial records
